asset,time,datetime_utc,open,high,low,close,long_liquidation_usd,short_liquidation_usd,total_liquidation_usd
BTCUSDT,1786807800,2026-08-15 15:30:00+00:00,63042.3,63096.7,63042.3,63082.0,0.0,-6874.5,6874.5
BTCUSDT,1786808700,2026-08-15 15:45:00+00:00,63082.0,63082.0,63068.0,63068.0,0.0,0.0,0.0
BTCUSDT,1786809600,2026-08-15 16:00:00+00:00,63068.1,63073.5,63035.9,63049.9,3657.82,0.0,3657.82
BTCUSDT,1786810500,2026-08-15 16:15:00+00:00,63049.9,63090.0,63032.7,63090.0,441.23,0.0,441.23
BTCUSDT,1786811400,2026-08-15 16:30:00+00:00,63090.0,63097.3,63059.3,63062.1,44337.51,0.0,44337.51
BTCUSDT,1786812300,2026-08-15 16:45:00+00:00,63062.1,63075.1,63062.0,63066.3,63.08,0.0,63.08
BTCUSDT,1786813200,2026-08-15 17:00:00+00:00,63066.3,63070.0,63066.2,63070.0,3027.18,-189.2,3216.38
BTCUSDT,1786814100,2026-08-15 17:15:00+00:00,63070.0,63077.8,63032.3,63039.0,0.0,-1640.0,1640.0
BTCUSDT,1786815000,2026-08-15 17:30:00+00:00,63038.9,63043.6,63038.3,63039.9,0.0,0.0,0.0
BTCUSDT,1786815900,2026-08-15 17:45:00+00:00,63039.8,63043.5,63032.1,63043.5,945.63,0.0,945.63
BTCUSDT,1786816800,2026-08-15 18:00:00+00:00,63043.4,63083.0,63039.4,63066.0,1639.27,0.0,1639.27
BTCUSDT,1786817700,2026-08-15 18:15:00+00:00,63066.0,63071.6,63015.2,63018.7,630.35,0.0,630.35
BTCUSDT,1786818600,2026-08-15 18:30:00+00:00,63018.8,63022.5,63014.9,63014.9,0.0,0.0,0.0
BTCUSDT,1786819500,2026-08-15 18:45:00+00:00,63015.0,63026.3,63011.6,63026.3,1449.37,0.0,1449.37
BTCUSDT,1786820400,2026-08-15 19:00:00+00:00,63026.3,63057.2,63026.2,63055.0,0.0,0.0,0.0
BTCUSDT,1786821300,2026-08-15 19:15:00+00:00,63055.0,63092.6,63055.0,63067.8,0.0,-126.17,126.17
BTCUSDT,1786822200,2026-08-15 19:30:00+00:00,63067.7,63092.0,63067.7,63079.2,3595.51,0.0,3595.51
BTCUSDT,1786823100,2026-08-15 19:45:00+00:00,63079.3,63093.6,63079.2,63093.6,63.09,0.0,63.09
BTCUSDT,1786824000,2026-08-15 20:00:00+00:00,63093.6,63093.6,63044.0,63050.8,1765.87,0.0,1765.87
BTCUSDT,1786824900,2026-08-15 20:15:00+00:00,63050.7,63050.8,63040.1,63047.8,0.0,-63.05,63.05
BTCUSDT,1786825800,2026-08-15 20:30:00+00:00,63047.8,63056.1,63042.9,63056.1,63.05,0.0,63.05
BTCUSDT,1786826700,2026-08-15 20:45:00+00:00,63056.0,63077.1,63056.0,63077.1,1198.31,-882.91,2081.22
BTCUSDT,1786827600,2026-08-15 21:00:00+00:00,63077.0,63077.8,63068.9,63077.7,0.0,0.0,0.0
BTCUSDT,1786828500,2026-08-15 21:15:00+00:00,63077.8,63117.3,63077.7,63117.2,0.0,-4038.88,4038.88
